Place Name,Latitude,Longitude
University of the Fraser Valley - BC,49.029053,-122.285431
University of Winnipeg - MB,49.892441,-97.154472
University of Saskatchewan - SK,52.132854,-106.631403
University of Western Ontario - ON,43.009953,-81.273613
Northern Alberta Institute of Technology -AB,53.568962,-113.504585
Grant MacEwan University - AB,53.546543,-113.504845
Grant MacEwan University - AB,53.546545,-113.504845
University of Calgary - AB,51.078621,-114.136719
University of Waterloo - ON,43.4723,-80.5449
University of Ottawa - ON, 45.382740,-75.695900
